elapsed_s,wall_time,reference_id,sp_can_unconfirmed,reference_valid_age_ms,reference_count,reference_payload_changes,reference_max_gap_ms,reference_raw,position,delta_position_from_first_sample,velocity,status2_valid_age_ms,status2_count,status2_max_gap_ms,status2_raw,applied_output,bus_voltage_V,motor_current_A,temperature_C,status0_valid_age_ms,status0_raw,status1_age_ms,status1_raw,heartbeat_age_ms,heartbeat_count,heartbeat_max_gap_ms,heartbeat_raw,invalid_frame_count,error_frame_count,candidate_reference_ids
0.010729,2026-09-14T20:53:36.533246-06:00,0x02051081,,,0,0,0.0,,,,,,0,0.0,,,,,,,,,,,0,0.0,,0,0,
0.116591,2026-09-14T20:53:36.639109-06:00,0x02051081,100.0,14.194011688232422,5,0,20.006656646728516,0000c84200000000,0.00043333336361683905,0.0,8.678436635989328e-09,12.119054794311523,5,20.054340362548828,2b1815320531e339,0.0,12.043956043956001,0.0,24,0.11682510375976562,00006c0600182000,38.05804252624512,0000000000400000,14.576911926269531,5,20.013093948364258,ffffffffffffffff,0,0,0x02051081
0.22201,2026-09-14T20:53:36.744529-06:00,0x02051081,100.0,19.608259201049805,10,0,20.10941505432129,0000c84200000000,0.00043333336361683905,0.0,8.678436635989328e-09,17.585039138793945,10,20.054340362548828,2b1815320531e339,0.0,12.036630036629994,0.0,24,5.57255744934082,00006b0600182000,143.4779167175293,0000000000400000,0.034809112548828125,11,20.082950592041016,ffffffffffffffff,0,0,0x02051081
0.322137,2026-09-14T20:53:36.844655-06:00,0x02051081,100.0,19.765138626098633,15,0,20.10941505432129,0000c84200000000,0.00043333336361683905,0.0,8.678436635989328e-09,17.661571502685547,15,20.054340362548828,2b1815320531e339,0.0,12.036630036629994,0.0,24,5.6476593017578125,00006b0600182000,243.60394477844238,0000000000400000,0.10895729064941406,16,20.082950592041016,ffffffffffffffff,0,0,0x02051081
0.422385,2026-09-14T20:53:36.944904-06:00,0x02051081,100.0,0.030994415283203125,21,0,20.10941505432129,0000c84200000000,0.00043333336361683905,0.0,8.678436635989328e-09,17.965078353881836,20,20.054340362548828,2b1815320531e339,0.0,12.029304029303987,0.0,24,5.955934524536133,00006a0600182000,93.90640258789062,0000000000400000,0.41556358337402344,21,20.082950592041016,ffffffffffffffff,0,0,0x02051081
0.522418,2026-09-14T20:53:37.044936-06:00,0x02051081,100.0,0.03790855407714844,26,0,20.12920379638672,0000c84200000000,0.00043333336361683905,0.0,8.678436635989328e-09,17.943620681762695,25,20.055055618286133,2b1815320531e339,0.0,12.02197802197798,0.0,24,5.934238433837891,0000690600182000,193.9387321472168,0000000000400000,0.4279613494873047,26,20.115137100219727,ffffffffffffffff,0,0,0x02051081
0.622434,2026-09-14T20:53:37.144953-06:00,0x02051081,100.0,0.03218650817871094,31,0,20.12920379638672,0000c84200000000,0.00043333336361683905,0.0,8.678436635989328e-09,18.01133155822754,30,20.055055618286133,2b1815320531e339,0.0,12.036630036629994,0.0,24,5.958080291748047,00006b0600182000,43.955087661743164,0000000000400000,0.4222393035888672,31,20.115137100219727,ffffffffffffffff,0,0,0x02051081
0.724451,2026-09-14T20:53:37.246970-06:00,0x02051081,100.0,2.055644989013672,36,0,20.12920379638672,0000c84200000000,0.00043333336361683905,0.0,8.678436635989328e-09,0.032901763916015625,36,20.055055618286133,2b1815320531e339,0.0,12.029304029303987,0.0,24,7.942914962768555,00006a0600182000,145.97249031066895,0000000000400000,2.4366378784179688,36,20.115137100219727,ffffffffffffffff,0,0,0x02051081
0.828511,2026-09-14T20:53:37.351030-06:00,0x02051081,100.0,6.119251251220703,41,0,20.12920379638672,0000c84200000000,0.00043333336361683905,0.0,8.678436635989328e-09,4.09698486328125,41,20.055055618286133,2b1815320531e339,0.0,12.02197802197798,0.0,24,12.08639144897461,0000690600182000,0.03457069396972656,0000000000400000,6.500959396362305,41,20.115137100219727,ffffffffffffffff,0,0,0x02051081
0.930575,2026-09-14T20:53:37.453094-06:00,0x02051081,100.0,6.710529327392578,46,0,21.462440490722656,0000c84200000000,0.00043333336361683905,0.0,8.678436635989328e-09,6.108760833740234,46,20.055055618286133,2b1815320531e339,0.0,12.051282051282008,0.0,24,14.148950576782227,00006d0600182000,102.09822654724121,0000000000400000,8.53872299194336,46,20.115137100219727,ffffffffffffffff,0,0,0x02051081
