elapsed_s,wall_time,reference_id,sp_can_unconfirmed,reference_valid_age_ms,reference_count,reference_payload_changes,reference_max_gap_ms,reference_raw,position,delta_position_from_first_sample,velocity,status2_valid_age_ms,status2_count,status2_max_gap_ms,status2_raw,applied_output,bus_voltage_V,motor_current_A,temperature_C,status0_valid_age_ms,status0_raw,status1_age_ms,status1_raw,heartbeat_age_ms,heartbeat_count,heartbeat_max_gap_ms,heartbeat_raw,invalid_frame_count,error_frame_count,candidate_reference_ids
0.029351,2026-09-14T21:15:23.665996-06:00,0x02051081,,,0,0,0.0,,,,,,0,0.0,,,,,,,,,,,0,0.0,,0,0,
0.13021,2026-09-14T21:15:23.766856-06:00,0x02051081,,,0,0,0.0,,,,,,0,0.0,,,,,,,,,,,0,0.0,,0,0,
0.230807,2026-09-14T21:15:23.867453-06:00,0x02051081,,,0,0,0.0,,,,,,0,0.0,,,,,,,,,,,0,0.0,,0,0,
0.331355,2026-09-14T21:15:23.968001-06:00,0x02051081,,,0,0,0.0,,,,,,0,0.0,,,,,,,,,,,0,0.0,,0,0,
0.431997,2026-09-14T21:15:24.068643-06:00,0x02051081,,,0,0,0.0,,,,,,0,0.0,,,,,,,,,,,0,0.0,,0,0,
0.532622,2026-09-14T21:15:24.169268-06:00,0x02051081,,,0,0,0.0,,,,,,0,0.0,,,,,,,,,,,0,0.0,,0,0,
0.633308,2026-09-14T21:15:24.269954-06:00,0x02051081,,,0,0,0.0,,,,,,0,0.0,,,,,,,,,,,0,0.0,,0,0,
0.733939,2026-09-14T21:15:24.370584-06:00,0x02051081,,,0,0,0.0,,,,,,0,0.0,,,,,,,,,,,0,0.0,,0,0,
0.834564,2026-09-14T21:15:24.471210-06:00,0x02051081,,,0,0,0.0,,,,,,0,0.0,,,,,,,,,,,0,0.0,,0,0,
0.935134,2026-09-14T21:15:24.571780-06:00,0x02051081,,,0,0,0.0,,,,,,0,0.0,,,,,,,,,,,0,0.0,,0,0,
