t_rx_s,t_host_s,rx_unix_s,host_minus_rx_ms,dt_rx_ms,applied_duty,bus_voltage_V,current_A,temperature_C,hard_forward,hard_reverse,soft_forward,soft_reverse,inverted,primary_heartbeat_lock,raw_hex
0.019217729568481445,0.01985503800005972,1789785044.5467048,0.6415843963623047,,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.039063453674316406,0.03916750000007596,1789785044.5665505,0.10323524475097656,19.84572410583496,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.0590815544128418,0.059217372000148316,1789785044.5865686,0.13494491577148438,20.01810073852539,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.07906365394592285,0.07917181700031506,1789785044.6065507,0.1068115234375,19.982099533081055,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.0990602970123291,0.09911716900023748,1789785044.6265473,0.0553131103515625,19.99664306640625,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.11909699440002441,0.11914331900015895,1789785044.646584,0.04482269287109375,20.036697387695312,0.0,12.080586080586038,0.0,23,0,0,0,0,0,1,0000710600172000
0.1390984058380127,0.13914330100033112,1789785044.6665854,0.04315376281738281,20.00141143798828,0.0,12.080586080586038,0.0,23,0,0,0,0,0,1,0000710600172000
0.15906405448913574,0.1591070980002769,1789785044.686551,0.041484832763671875,19.965648651123047,0.0,12.065934065934023,0.0,23,0,0,0,0,0,1,00006f0600172000
0.1790614128112793,0.17910665399995196,1789785044.7065485,0.04363059997558594,19.997358322143555,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.19906282424926758,0.1991076740000608,1789785044.7265499,0.04315376281738281,20.00141143798828,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.21905803680419922,0.21910286000002088,1789785044.746545,0.04315376281738281,19.99521255493164,0.0,12.080586080586038,0.0,23,0,0,0,0,0,1,0000710600172000
0.23909449577331543,0.23913925000033487,1789785044.7665815,0.04315376281738281,20.03645896911621,0.0,12.080586080586038,0.0,23,0,0,0,0,0,1,0000710600172000
0.2590620517730713,0.2591225099999974,1789785044.786549,0.0591278076171875,19.96755599975586,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.2790529727935791,0.27909891800027253,1789785044.80654,0.044345855712890625,19.990921020507812,0.0,12.065934065934023,0.0,23,0,0,0,0,0,1,00006f0600172000
0.29906392097473145,0.2991157710002881,1789785044.826551,0.05030632019042969,20.010948181152344,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.3192119598388672,0.31928595700037476,1789785044.846699,0.07224082946777344,20.148038864135742,0.0,12.080586080586038,0.0,23,0,0,0,0,0,1,0000710600172000
0.33909130096435547,0.33914801400032957,1789785044.8665783,0.05507469177246094,19.87934112548828,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.3590574264526367,0.359107903000222,1789785044.8865445,0.04887580871582031,19.96612548828125,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.3790621757507324,0.379112386000088,1789785044.9065492,0.04863739013671875,20.004749298095703,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.3990628719329834,0.39918647900003634,1789785044.92655,0.12278556823730469,20.000696182250977,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.41906070709228516,0.41915690600035305,1789785044.9465477,0.09512901306152344,19.997835159301758,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.43905115127563477,0.4391038329999901,1789785044.9665382,0.051021575927734375,19.99044418334961,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.459047794342041,0.45910649999996167,1789785044.9865348,0.057220458984375,19.99664306640625,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.47905755043029785,0.479109057000187,1789785045.0065446,0.050067901611328125,20.009756088256836,0.0,12.080586080586038,0.0,23,0,0,0,0,0,1,0000710600172000
0.4990570545196533,0.4991014100000939,1789785045.026544,0.04267692565917969,19.99950408935547,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.5190467834472656,0.5190956330002336,1789785045.0465338,0.04744529724121094,19.989728927612305,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.5390479564666748,0.5390998740003852,1789785045.066535,0.05030632019042969,20.00117301940918,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.5590689182281494,0.5591405980003401,1789785045.086556,0.07009506225585938,20.02096176147461,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
0.5790684223175049,0.579207432000203,1789785045.1065555,0.13828277587890625,19.99950408935547,0.0,12.080586080586038,0.0,23,0,0,0,0,0,1,0000710600172000
0.5990464687347412,0.5990975439999602,1789785045.1265335,0.049591064453125,19.978046417236328,0.0,12.07326007326003,0.0,23,0,0,0,0,0,1,0000700600172000
