t_plan_s,t_tx_begin_s,t_tx_end_s,tx_unix_s,step_index,duty_command,event,lateness_ms
0.0,2.4889000087569002e-05,0.00010675900011847261,1789785044.5275102,0,0.0,step,0.024889000087569002
,0.020580576000156725,0.020944076999967365,1789785044.548068,0,0.0,refresh,
,0.041203004000180954,0.04126415200016709,1789785044.5686886,0,0.0,refresh,
,0.061399376000281336,0.06148615400024937,1789785044.588885,0,0.0,refresh,
,0.08162865500025873,0.08167463600011615,1789785044.6091142,0,0.0,refresh,
,0.10177419299998292,0.10180734100003974,1789785044.6292596,0,0.0,refresh,
,0.12190673100030835,0.12193523099995218,1789785044.6493921,0,0.0,refresh,
,0.14203264000025229,0.14205973200023436,1789785044.669518,0,0.0,refresh,
,0.16215640000018539,0.16218319600011455,1789785044.6896417,0,0.0,refresh,
,0.1822871050003414,0.1823144940003658,1789785044.7097726,0,0.0,refresh,
,0.2024106250000841,0.20243751399993926,1789785044.7298958,0,0.0,refresh,
,0.22253605200012316,0.22256142200012619,1789785044.7500215,0,0.0,refresh,
,0.2426578120002887,0.24268455300034475,1789785044.7701433,0,0.0,refresh,
,0.26278255400029593,0.2628148870003315,1789785044.790268,0,0.0,refresh,
,0.2829147219999868,0.2829407770000216,1789785044.8104,0,0.0,refresh,
,0.30303616700030034,0.3030658900001981,1789785044.8305216,0,0.0,refresh,
,0.32316377999995893,0.32321370599993315,1789785044.8506494,0,0.0,refresh,
,0.3433118920002016,0.3433434470002794,1789785044.8707974,0,0.0,refresh,
,0.3634428929999558,0.3634740970001076,1789785044.8909283,0,0.0,refresh,
,0.38357019000022774,0.3836005610000939,1789785044.9110556,0,0.0,refresh,
,0.4037011360001088,0.40376913599993713,1789785044.9311864,0,0.0,refresh,
,0.42387506300019595,0.4239201929999581,1789785044.9513605,0,0.0,refresh,
,0.4440181200002371,0.4440486759999658,1789785044.9715037,0,0.0,refresh,
,0.46414847300002293,0.4641815840000163,1789785044.991634,0,0.0,refresh,
,0.48428756700013764,0.4843161040002997,1789785045.0117729,0,0.0,refresh,
,0.5044117900001766,0.5044385680002961,1789785045.031897,0,0.0,refresh,
,0.5245413650000046,0.5245747730000403,1789785045.052027,0,0.0,refresh,
,0.5446730150001713,0.5447022370003651,1789785045.0721586,0,0.0,refresh,
,0.5648431270001311,0.5649364420000893,1789785045.0923288,0,0.0,refresh,
,0.5850836100003107,0.5851325540002108,1789785045.112569,0,0.0,refresh,
,0.6052283700000771,0.6052627040003244,1789785045.1327138,0,0.0,refresh,
,0.6253601680000429,0.6253881490001731,1789785045.1528456,0,0.0,refresh,
,0.6455222610002238,0.645571965000272,1789785045.173008,0,0.0,refresh,
,0.6656739290001497,0.6657110959999955,1789785045.1931593,0,0.0,refresh,
,0.6858195050003815,0.6858501159999832,1789785045.2133048,0,0.0,refresh,
,0.7059486719999768,0.7059804870000335,1789785045.2334342,0,0.0,refresh,
,0.7260793590003232,0.7261090619999777,1789785045.2535646,0,0.0,refresh,
,0.746215119000226,0.7462579709999773,1789785045.2737007,0,0.0,refresh,
,0.7663590649999605,0.7663870830001542,1789785045.2938445,0,0.0,refresh,
,0.7864870289999999,0.7865294360003645,1789785045.3139725,0,0.0,refresh,
,0.8066391229999681,0.8066887889999634,1789785045.3341246,0,0.0,refresh,
,0.826804605000234,0.826838754000164,1789785045.35429,0,0.0,refresh,
,0.8469442360001267,0.8469847920000575,1789785045.3744297,0,0.0,refresh,
,0.8670868480003264,0.8671193850000236,1789785045.3945723,0,0.0,refresh,
,0.887225072000092,0.887255813000138,1789785045.4147105,0,0.0,refresh,
,0.9073555540003326,0.9073813320001136,1789785045.434841,0,0.0,refresh,
,0.9274772779999694,0.9275096480000684,1789785045.4549627,0,0.0,refresh,
,0.9476088900000832,0.947636927000076,1789785045.4750943,0,0.0,refresh,
,0.967749484000251,0.9677922620003301,1789785045.4952347,0,0.0,refresh,
,0.9879038369999762,0.9879495410000345,1789785045.5153894,0,0.0,refresh,
,1.008080431000053,1.0081611340001473,1789785045.535566,0,0.0,refresh,
,1.028285469000366,1.028352339000321,1789785045.5557709,0,0.0,refresh,
,1.048465748000126,1.0485261369999535,1789785045.575951,0,0.0,refresh,
,1.0686504899999818,1.0687280270003612,1789785045.5961359,0,0.0,refresh,
,1.088885436000055,1.088988103000247,1789785045.616371,0,0.0,refresh,
,1.1091150480001488,1.1091854740002418,1789785045.6366005,0,0.0,refresh,
