t_rx_s,t_host_s,rx_unix_s,host_minus_rx_ms,dt_rx_ms,velocity_rpm,position_rot,raw_hex
0.019451618194580078,0.020438928000203305,1789785044.5469387,0.9865760803222656,,0,0,0000000000000000
0.039228439,0.039260278,1789785044.5667155,0.030040740966796875,19.77682113647461,0,0,0000000000000000
0.059228182,0.059318298,1789785044.5867152,0.088453293,19.99974250793457,0,0,0000000000000000
0.079236031,0.079278613,1789785044.606723,0.041007996,20.007848739624023,0,0,0000000000000000
0.09923315,0.099275281,1789785044.6267202,0.040531158447265625,19.997119903564453,0,0,0000000000000000
0.11926794052124023,0.11930600400000912,1789785044.646755,0.036478043,20.03479004,0,0,0000000000000000
0.13927054405212402,0.13930806000007578,1789785044.6667576,0.036001205,20.00260353088379,0,0,0000000000000000
0.15923571586608887,0.15927163500009556,1789785044.6867228,0.034093857,19.965171813964844,0,0,0000000000000000
0.17923283576965332,0.17926906200000303,1789785044.7067199,0.034332275,19.997119903564453,0,0,0000000000000000
0.199235201,0.19927154500010147,1789785044.7267222,0.034570694,20.002365112304688,0,0,0000000000000000
0.21923065185546875,0.2192670080003154,1789785044.7467177,0.034809112548828125,19.995450973510742,0,0,0000000000000000
0.23926687240600586,0.23930328699998427,1789785044.766754,0.034809112548828125,20.03622055053711,0,0,0000000000000000
0.2592339515686035,0.25927756600003704,1789785044.786721,0.04196167,19.967079162597656,0,0,0000000000000000
0.27922487258911133,0.27926228900014394,1789785044.806712,0.035762786865234375,19.990921020507812,0,0,0000000000000000
0.2992362976074219,0.2992753270000321,1789785044.8267233,0.037431717,20.011425018310547,0,0,0000000000000000
0.3190758228302002,0.31920282800001587,1789785044.8465629,0.12612342834472656,19.83952522277832,0,0,0000000000000000
0.3392629623413086,0.339304421,1789785045,0.039815903,20.18713951,0,0,0000000000000000
0.35922980308532715,0.3592682550001882,1789785044.8867168,0.036716461181640625,19.966840744018555,0,0,0000000000000000
0.37923431396484375,0.37927295999998023,1789785044.9067214,0.03695488,20.00451088,0,0,0000000000000000
0.39919352531433105,0.3992732020001313,1789785044.9266806,0.078201294,19.959211349487305,0,0,0000000000000000
0.4191932678222656,0.41923790600003485,1789785044.9466803,0.042915344,19.99974250793457,0,0,0000000000000000
0.4392228126525879,0.4392620739999984,1789785044.9667099,0.037431717,20.029544830322266,0,0,0000000000000000
0.45921850204467773,0.4592604450003819,1789785044.9867055,0.04029274,19.995689392089844,0,0,0000000000000000
0.4792308807373047,0.4792694460002167,1789785045.006718,0.03695488,20.012378692626953,0,0,0000000000000000
0.49922847747802734,0.49926513200034606,1789785045.0267155,0.035047531,19.997596740722656,0,0,0000000000000000
0.5192170143127441,0.5192574659999991,1789785045.046704,0.038623809814453125,19.988536834716797,0,0,0000000000000000
0.5392203330993652,0.5392586890002349,1789785045.0667074,0.036716461181640625,20.003318786621094,0,0,0000000000000000
0.559218168,0.5592665050003234,1789785045.0867052,0.046730042,19.997835159301758,0,0,0000000000000000
0.5792016983032227,0.5792939320003825,1789785045.1066887,0.09059906,19.983530044555664,0,0,0000000000000000
0.5992116928100586,0.5992456740000307,1789785045.1266987,0.032186508,20.009994506835938,0,0,0000000000000000
0.6192553043365479,0.6192919889999757,1789785045.1467423,0.035047531,20.043611526489258,0,0,0000000000000000
0.6391937732696533,0.6392919350000739,1789785045.1666808,0.096559525,19.93846893310547,0,0,0000000000000000
0.6592557430267334,0.6592961020000985,1789785045.1867428,0.038623809814453125,20.061969757080078,0,0,0000000000000000
0.6792223453521729,0.6792613440002242,1789785045.2067094,0.037431717,19.966602325439453,0,0,0000000000000000
0.6992599964141846,0.6992967710002631,1789785045.226747,0.03528595,20.03765106201172,0,0,0000000000000000
0.7192122936248779,0.7192625679999765,1789785045.2466993,0.04863739,19.95229721069336,0,0,0000000000000000
0.7392196655273438,0.7392564020001373,1789785045.2667067,0.035047531,20.00737190246582,0,0,0000000000000000
0.7592530250549316,0.7592923110000811,1789785045,0.037908554,20.03335952758789,0,0,0000000000000000
