time_s,applied_duty_percent,velocity_rpm
0.000000000,44.999511704,2434.827907079
0.020000000,44.999511704,2440.001708984
0.040000000,44.999511704,2440.001708984
0.060000000,44.999511704,2439.469513377
0.080000000,44.999511704,2434.287353516
0.100000000,44.999511704,2434.828407193
0.120000000,44.999511704,2440.001708984
0.140000000,44.999511704,2439.461629453
0.160000000,44.999511704,2434.287353516
0.180000000,44.999511704,2434.287353516
0.200000000,44.999511704,2434.818833573
0.220000000,44.999511704,2440.001708984
0.240000000,44.999511704,2440.001708984
0.260000000,44.999511704,2439.468135692
0.280000000,44.999511704,2434.822057379
0.300000000,44.999511704,2440.001708984
0.320000000,44.999511704,2440.001708984
0.340000000,44.999511704,2439.469982132
0.360000000,44.999511704,2434.287353516
0.380000000,44.999511704,2434.813996412
0.400000000,44.999511704,2440.001708984
0.420000000,44.999511704,2440.001708984
0.440000000,44.999511704,2439.466895630
0.460000000,44.999511704,2434.287353516
0.480000000,44.999511704,2434.287353516
0.500000000,44.999511704,2434.820518909
0.520000000,44.999511704,2440.001708984
0.540000000,44.999511704,2439.466954077
0.560000000,44.999511704,2434.287353516
0.580000000,44.999511704,2434.287353516
0.600000000,44.999511704,2434.831831542
0.620000000,44.999511704,2440.001708984
0.640000000,44.999511704,2439.469007855
0.660000000,44.999511704,2434.287353516
0.680000000,44.999511704,2434.287353516
0.700000000,44.999511704,2434.829052773
0.720000000,44.999511704,2440.001708984
0.740000000,44.999511704,2440.001708984
0.760000000,44.999511704,2440.001708984
0.780000000,44.999511704,2440.001708984
0.800000000,44.999511704,2440.001708984
0.820000000,44.999511704,2440.001708984
0.840000000,44.999511704,2440.001708984
0.860000000,44.999511704,2440.001708984
0.880000000,44.999511704,2440.001708984
0.900000000,44.999511704,2440.001708984
0.920000000,44.999511704,2440.001708984
0.940000000,44.999511704,2440.001708984
0.960000000,44.999511704,2440.001708984
0.980000000,44.999511704,2440.001708984
1.000000000,44.999511704,2439.467059554
1.020000000,44.999511704,2434.287353516
1.040000000,44.999511704,2434.811255284
1.060000000,44.999511704,2440.001708984
1.080000000,44.999511704,2440.001708984
1.100000000,44.999511704,2439.469391160
1.120000000,44.999511704,2434.287353516
1.140000000,44.999511704,2434.832775515
1.160000000,44.999511704,2440.001708984
1.180000000,44.999511704,2440.001708984
1.200000000,44.999511704,2439.462911330
1.220000000,44.999511704,2434.825228735
1.240000000,44.999511704,2440.001708984
1.260000000,44.999511704,2440.001708984
1.280000000,44.999511704,2439.472044234
1.300000000,44.999511704,2434.287353516
1.320000000,44.999511704,2434.826138911
1.340000000,44.999511704,2440.001708984
1.360000000,44.999511704,2440.001708984
1.380000000,44.999511704,2439.418071144
1.400000000,44.999511704,2434.287353516
1.420000000,44.999511704,2434.871174917
1.440000000,44.999511704,2440.001708984
1.460000000,44.999511704,2440.001708984
1.480000000,44.999511704,2439.474316199
1.500000000,44.999511704,2434.817916657
1.520000000,44.999511704,2440.001708984
1.540000000,44.999511704,2440.001708984
1.560000000,44.999511704,2440.001708984
1.580000000,44.999511704,2440.001708984
1.600000000,44.999511704,2440.001708984
1.620000000,44.999511704,2440.001708984
1.640000000,44.999511704,2440.001708984
1.660000000,44.999511704,2440.001708984
1.680000000,44.999511704,2440.001708984
1.700000000,44.999511704,2440.001708984
1.720000000,44.999511704,2440.537502431
1.740000000,44.999511704,2445.716064453
1.760000000,44.999511704,2445.184999225
1.780000000,44.999511704,2440.548298799
1.800000000,44.999511704,2445.716064453
1.820000000,44.999511704,2445.174019510
1.840000000,44.999511704,2440.541756826
1.860000000,44.999511704,2445.716064453
1.880000000,44.999511704,2445.716064453
1.900000000,44.999511704,2445.716064453
1.920000000,44.999511704,2445.174488952
1.940000000,44.999511704,2440.543566427
1.960000000,44.999511704,2445.716064453
1.980000000,44.999511704,2445.166494917
2.000000000,44.999511704,2440.001708984
2.020000000,44.999511704,2440.001708984
2.040000000,44.999511704,2440.001708984
2.060000000,44.999511704,2440.001708984
2.080000000,44.999511704,2440.001708984
2.100000000,44.999511704,2439.459082458
2.120000000,44.999511704,2434.287353516
2.140000000,44.999511704,2434.831063702
2.160000000,44.999511704,2440.001708984
2.180000000,44.999511704,2440.001708984
2.200000000,44.999511704,2440.001708984
2.220000000,44.999511704,2440.001708984
2.240000000,44.999511704,2440.001708984
2.260000000,44.999511704,2440.001708984
2.280000000,44.999511704,2440.001708984
2.300000000,44.999511704,2440.001708984
2.320000000,44.999511704,2440.001708984
2.340000000,44.999511704,2440.001708984
2.360000000,44.999511704,2440.001708984
2.380000000,44.999511704,2440.001708984
2.400000000,44.999511704,2440.001708984
2.420000000,44.999511704,2440.001708984
2.440000000,44.999511704,2439.457523719
2.460000000,44.999511704,2434.287353516
2.480000000,44.999511704,2434.820904066
2.500000000,44.999511704,2440.001708984
2.520000000,44.999511704,2440.001708984
2.540000000,44.999511704,2439.450170003
2.560000000,44.999511704,2434.822491875
2.580000000,44.999511704,2440.001708984
2.600000000,44.999511704,2440.001708984
2.620000000,44.999511704,2440.001708984
2.640000000,44.999511704,2439.469819211
2.660000000,44.999511704,2434.820954961
2.680000000,44.999511704,2440.001708984
2.700000000,44.999511704,2440.001708984
2.720000000,44.999511704,2439.457973779
2.740000000,44.999511704,2434.287353516
2.760000000,44.999511704,2434.829815287
2.780000000,44.999511704,2440.001708984
2.800000000,44.999511704,2440.001708984
2.820000000,44.999511704,2440.001708984
2.840000000,44.999511704,2440.001708984
2.860000000,44.999511704,2440.001708984
2.880000000,44.999511704,2440.001708984
2.900000000,44.999511704,2440.001708984
2.920000000,44.999511704,2440.001708984
2.940000000,44.999511704,2440.001708984
2.960000000,44.999511704,2440.001708984
2.980000000,44.999511704,2440.001708984
3.000000000,44.999511704,2440.001708984
3.020000000,49.999114963,2440.001708984
3.040000000,49.999114963,2442.764711596
3.060000000,49.999114963,2471.258601625
3.080000000,49.999114963,2497.144287109
3.100000000,49.999114963,2500.497694755
3.120000000,49.999114963,2531.429931641
3.140000000,49.999114963,2534.776006280
3.160000000,49.999114963,2568.449724179
3.180000000,49.999114963,2594.286865234
3.200000000,49.999114963,2597.563664792
3.220000000,49.999114963,2632.346055371
3.240000000,49.999114963,2668.572509766
3.260000000,49.999114963,2671.262372630
3.280000000,49.999114963,2697.691540138
3.300000000,49.999114963,2702.857910156
3.320000000,49.999114963,2702.857910156
3.340000000,49.999114963,2702.857910156
3.360000000,49.999114963,2702.857910156
3.380000000,49.999114963,2702.857910156
3.400000000,49.999114963,2702.857910156
3.420000000,49.999114963,2702.857910156
3.440000000,49.999114963,2703.406235831
3.460000000,49.999114963,2708.572265625
3.480000000,49.999114963,2708.021947220
3.500000000,49.999114963,2702.857910156
3.520000000,49.999114963,2702.857910156
3.540000000,49.999114963,2702.857910156
3.560000000,49.999114963,2702.857910156
3.580000000,49.999114963,2702.857910156
