time_s,applied_duty_percent,velocity_rpm
0.000000000,69.997528001,3799.999511719
0.020000000,69.997528001,3799.999511719
0.040000000,69.997528001,3799.999511719
0.060000000,69.997528001,3799.999511719
0.080000000,69.997528001,3799.999511719
0.100000000,69.997528001,3799.999511719
0.120000000,69.997528001,3799.999511719
0.140000000,69.997528001,3799.999511719
0.160000000,69.997528001,3799.297304611
0.180000000,69.997528001,3794.285156250
0.200000000,69.997528001,3794.285156250
0.220000000,69.997528001,3794.285156250
0.240000000,69.997528001,3794.285156250
0.260000000,69.997528001,3794.285156250
0.280000000,69.997528001,3794.285156250
0.300000000,69.997528001,3794.285156250
0.320000000,69.997528001,3794.285156250
0.340000000,69.997528001,3794.285156250
0.360000000,69.997528001,3794.285156250
0.380000000,69.997528001,3794.285156250
0.400000000,69.997528001,3794.285156250
0.420000000,69.997528001,3794.285156250
0.440000000,69.997528001,3794.285156250
0.460000000,69.997528001,3794.285156250
0.480000000,69.997528001,3794.981686204
0.500000000,69.997528001,3799.999511719
0.520000000,69.997528001,3799.999511719
0.540000000,69.997528001,3799.999511719
0.560000000,69.997528001,3799.999511719
0.580000000,69.997528001,3799.999511719
0.600000000,69.997528001,3799.999511719
0.620000000,69.997528001,3799.999511719
0.640000000,69.997528001,3799.999511719
0.660000000,69.997528001,3799.999511719
0.680000000,69.997528001,3799.999511719
0.700000000,69.997528001,3800.692890855
0.720000000,69.997528001,3805.030284208
0.740000000,69.997528001,3799.999511719
0.760000000,69.997528001,3799.999511719
0.780000000,69.997528001,3799.999511719
0.800000000,69.997528001,3799.999511719
0.820000000,69.997528001,3799.999511719
0.840000000,69.997528001,3799.999511719
0.860000000,69.997528001,3799.999511719
0.880000000,69.997528001,3800.696942998
0.900000000,69.997528001,3805.713867188
0.920000000,69.997528001,3805.713867188
0.940000000,69.997528001,3805.017546233
0.960000000,69.997528001,3799.999511719
0.980000000,69.997528001,3800.688109712
1.000000000,69.997528001,3805.713867188
1.020000000,69.997528001,3805.713867188
1.040000000,69.997528001,3805.713867188
